Video Link,Primary Tag,Secondary Tag,Rating,Description
D2OFZhYs9jY,inappropriate,Unsuitable Video Games,Mild,Ad is not inappropriate. About a graphics competition from the creators of the game Honkai: Star Rail. However game is rated 12+
Szt7IphR5HA,inappropriate,Intimacy,Mild,Punjabi song. Has underlying themes of intimact but not too bad
DyIMb0oO8Qw,child directed,Cartoons,,Ad for a bear cartoon which goes on adventures. Aimed for kids
DAp5f9GaxM0,inappropriate,Intimacy,Mild,Punjabi song. Has underlying themes of intimact but not too bad
pV5r5yMwz1c,inappropriate,Scariness,Mild,"shows a woman pretending to cry for a drama skit. While not inappropriate, can be distressing for kids"
rss4fwYspec,inappropriate,Intimacy,Mild,Punjabi song. Has underlying themes of intimact but not too bad
c7e4ktm7otA,irrelevant,Travel & Adventure,,Ad showing a tour of a city
OuUPTy4i4Oo,irrelevant,Music & Performance,,Ad for a multilingual music performance
mF7FvOe1MTc,inaudible,Different Language,,ad of a woman singing in arabic. No visually inappropriate content but unclear what song about
J9h3vC1WM4g,inappropriate,Intimacy,Mild,Hindi song with the song having an intimate tone and lyrics
NXsN-3R00OQ,irrelevant,Nature & Environment,,Ad showing elephants walking
rNoGVKHAud8,irrelevant,Music & Performance,,Ad showing a punjabi song to honor their father
cTR9djV91pU,inappropriate,Intimacy,Mild,Hindi song with the song having an intimate tone and lyrics
Hxy0AEktdaQ,irrelevant,Software,,Ad transition
yZYuyoWc6ZI,irrelevant,Software,,Ad to track network and cloud services. Shows poeple using the software
Ril7ROmazvQ,irrelevant,Software,,GoDaddy. domain provider. video focused on email domains
ySmihdz6MFc,inappropriate,"Drinking, drugs, smoking",Mild,shows the singer holding a beer cup (does not drink however). Alcoholic bottle can be seen in the background. Language different
UtEoi-vI7s0,inappropriate,Offensive language,Extreme,Ad about a rap music video. Contains inappropriate language
WilnmR4lX6k,irrelevant,Travel & Adventure,,Travel vlog of a person visiting a resort in miami
I6PSyvWiD-Y,irrelevant,Autos & Vehicles,,Ad about nissan's e power lineup of cars
4XjPFzefWhk,irrelevant,Machinery,,Ad for a filter for industrial use
bQES_F6c7c8,child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information
Ijwq-tTAwGg,inappropriate,Intimacy,Mild,Song with intimate lyrics
ZYO9LyvARwM,irrelevant,Home and Lifestyle,,Ad about a cleaning company which cleans apartments at a cost
TP9sWpfMTpM,inappropriate,Intimacy,Mild,Shows a vlog of a couple that got married. Contains kissing and intimate references but could also be irrelevant
6z90tA5_Vlw,irrelevant,Education & Learning,,ad about a higher education business school promoting its facilities
Ix-mCljuPgI,irrelevant,Music & Performance,,Ad showing a band performing live. lyrics translation looks fine
gbrqzWNvriw,irrelevant,Music & Performance,,ad showing a man singing a punjabi song. Nothing immediately inappropriate
5JysgNEAe44,inappropriate,Intimacy,Moderate,Song shows instances of sensual dances not appropriate for kids
CV4fQ_BPraE,irrelevant,Music & Performance,,Ad showing a group dancing in a fake prision setting. Not enough to classify as inappropriate
Ixo7QTX2Xgk,irrelevant,Health and Wellness,,Ad for a toothpaste with a doctor testifying for its efficacy
Eq1wBOY25ak,irrelevant,Education & Learning,,Ad for a tech bootcamp with testimonials from 2 students
4uEZzOMBbus,inappropriate,Offensive language,Extreme,Ad shows a rap music by lil pump which contains derogatory language
0KRF7JPsQSo,irrelevant,Machinery,,ad showing the operation of a cnc milling machine
2S1SIRHDsz8,irrelevant,Software,,Ad showing an app for a transporting service for goods
m7RrQTP51aQ,irrelevant,Finance & Legal,,Ad showing a tutorial of how to mine crypto coins on a windows machine
SqV6nXx22Rk,irrelevant,Sports & Athletics,,Ad shows a person boxing with a punching bag and a city. unclear what ad is about
07JGCc2n9iQ,irrelevant,Music & Performance,,Ad for a music performance in a studio
tTGWp4jvx48,inappropriate,"Drinking, drugs, smoking",Mild,Ad shows a music performance in a bar. Alcohol on open display might not be appropriate for childrent
KjK06CxurgA,inappropriate,Death,Extreme,"Ad shows distressing scenes of car accidents, amputations and dead bodies in shrouds. Not appropriate"
R_2dY1reH-Y,inappropriate,Sexual content,moderate,Ad of a song with a woman licking her finger in a sensual way. Song has inappropriate lyrics when translated
aAGZzkyAQaY,irrelevant,Machinery,,Ad for a cnc milling machine
KXv3swGWvSY,inappropriate,Intimacy,Mild,guy singing a song on a stool in the daytime on a balcony. Lyrics of a romantic setting
fysVod7eanc,inappropriate,Intimacy,Mild,Indian song with a romantic undertone
TZNRLDrwtI8,inappropriate,Intimacy,Mild,Indian song with a romantic undertone and sensual dances 
zWZEgEjNjx8,irrelevant,Tech & Gadgets,,ad by dell explaining how to prevent malware on their laptops
QDCjl8AebT4,irrelevant,Fashion,,Ad for a company selling wallets and showing their quality
99nUfBVgA6E,irrelevant,Sports & Athletics,,Ad shows a person boxing with a punching bag and a city. unclear what ad is about
0Ahim5aJmp8,irrelevant,Music & Performance,,Music performance by a kpop group. nothing immediately inappropriate
7KkPDl0a6V8,irrelevant,Machinery,,Ad for a lubricant to repair equipment (WD40)
V2vcFHLUAX8,irrelevant,Finance & Legal,,Ad for a talk on businesses and financial investments
RQ5wXpePzGE,inappropriate,Intimacy,Mild,Indian song with a romantic undertone
xFU0M2cl8FM,irrelevant,Music & Performance,,ad about a beat with drawings of nature
idBh9yDZd2o,inappropriate,Intimacy,Mild,Indian song with a romantic undertone
Ou6aoi8oylQ,inappropriate,Intimacy,Mild,Indian song with a romantic undertone
fUMyW153aUc,inaudible,Different Language,,Music performance by a woman in a different language
mHGbPJ2tY90,irrelevant,Machinery,,Ad for a filter for industrial use
fnMwCP9Wljo,inappropriate,Sexual content,Mild,Indian song with a sexual undertone in the dances
FtbiSbl_5KE,irrelevant,Software,,Ad for a web browser showing its capabilites
Skc5cIf1-OE,irrelevant,Education & Learning,,Ad showing a conference with various learning activities for young adults
_AyNlth2XIU,irrelevant,Tech & Gadgets,,Ad for a gaming peripheral provider showing thier sales
C5M7YUxHZZc,inappropriate,Intimacy,Mild,A woman singing an Indian song with a romantic undertone
ynOtYmpZxak,irrelevant,Music & Performance,,Self appreciationn song
eCXqMHPlaoE,inappropriate,"Drinking, drugs, smoking",Extreme,Ad showing glorified drinking and sensual dances by women for men
ci_U3H-mL0M,irrelevant,Music & Performance,,Ad showing a song by a woman in the countryside. Lyrics translation seems clear
U3PTLHaeZSM,inappropriate,Intimacy,Mild,Ad about a punjabi song with lyrics surrounding intimacy and hearbreak
Ux9HOt0twoY,irrelevant,Tech & Gadgets,,Ad about a talk discussing open source vs closed source AI
v8UkcODWhAU,irrelevant,Music & Performance,,Ad about a man singing. Lyrics in the video have no apparent problem
mLVEM5rdS-c,irrelevant,Parenting & Family,,Ad for a store to buy kids shoes from
tRUtoAw_e8Y,irrelevant,Music & Performance,,A song about friendship
DzUgCln0WWY,irrelevant,Nature & Environment,,Ad showing elks in yellowstone park
vOoJVWITR-E,irrelevant,Home and Lifestyle,,Ad for a company selling home furniture
X_LKGwM0He8,inappropriate,Intimacy,Mild,Ad for a song with undertones of intimacy
5KJMNlLgBWc,irrelevant,Tech & Gadgets,,Ad showing featues of LG's Oled tvs
6zP_KnLDHGY,inappropriate,Display of weapons,Moderate,Ad for a punjabi song with baseball bats and gun sounds in an intimidating manner. lyrics also not appropriate
NvYDEN1m_AQ,child directed,Cartoons,,Ad for a bear cartoon which goes on adventures. Aimed for kids
kmdwzPH9T_I,inappropriate,Offensive language,Extreme,ad for a rap song with inappropriate lyrics
0I5z4YcjBTU,irrelevant,Software,,Ad for an AI software to map images onto your face
yGhg56aq1nI,irrelevant,Finance & Legal,,A talk on tech stocks to watch for
8wYSPQp8jNQ,child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information
