Video Link,Primary Tag,Secondary Tag,Rating,Description
zLE2AdYO0M4,inappropriate,Offensive language,mild,"ad pertains to a Punjabi music video, a few frames show abusive signs"
hssveOP_8uo,inappropriate,Unsuitable video games,mild,ad pertains to a mmo rpg style game; rated PG9+
QD32dTMemkI,irrelevant,Software,-,ad pertains to Photo Vibrance tool for adding special effects to pictures
M880b1yqy4s,inappropriate,Intimacy,mild,"ad pertains to a punjabi song, premise of the song is about a man desiring a girl; deelpy romantic premise"
w6TwSpuhA4g,inappropriate,Intimacy,moderate,ad pertains to a music video;  shows a man drinking; some scenes show physical intimacy 
ZelVyOCWqAU,inappropriate,Intimacy,moderate,ad pertains to a music video; contains inherent romantic dynamic; some scene of intimacy
9aJIa5iJkWM,inappropriate,Inappropriate Clothing,moderate,ad pertains to a music video which is in a different language; contains inappropriate dancing and clothing 
NY3dMQeV-nQ,irrelevant,Celebrations,-,ad pertains to Qatar Airways;  announces Eid celebrations
TjxskTJd9eM,irrelevant,Software,-,ad pertains to Robotics Engineer Desktop for assisting Robotics engineers
YT2Tcehr36Y,inappropriate,"Drinking, drugs, smoking",moderate,"ad pertains to a Punjabi song, shows drugs"
5ODxRNXxoWg,irrelevant,Education & Learning,-,ad pertains to the TOEFL test
XlUrLwkXTAc,inappropriate,Intimacy,moderate,ad pertains to a music video; inherent romantic dynamic+ some physical intimacy
KxWZp4uOQAA,inaudible,Different Language,-,ad pertains to music audio; contains images as visuals; in a different language
rffvbECTzkY,irrelevant,Software,-,ad pertains to an app for viewing IPL matches
CxUcLE-SuqE,irrelevant,Software,-,ad pertains to providing customized shopping experiences via Shopify
BqQRPRNRZ3U,inappropriate,Intimacy,mild,ad pertains to a Punjabi music video; inderent romantic dynamic
-JlqGqRYKcw,irrelevant,Education & Learning,-,ad pertains to Foundation Certficate program for students applying for Australian visas
-6dleqTJs0o,inappropriate,Intimacy,mild,ad pertains to a Punjabi song; inherent romatic dynamic; some sensual themes
sjsghUoy-d0,irrelevant,Education & Learning,-,ad pertains to a university
2ORtf3b2NJU,inappropriate,Unsuitable video games,mild,ad pertains to a mmo rpg style game; rated PG9+
Bt_cDnlEeoo,inaudible,Different Language,-,ad is inaudible; unable to pinpoint what the ad is about
sKKRzx6GXv8,irrelevant,Machinery,-,ad pertains to Qunfeng Machinery's industrial machines
1dDNuWywXdA,inaudible,Different Language,-,ad pertains to a music video in a different language
gUrEMgV-rV0,irrelevant,Fashion,-,ad pertains to ZEEN's women clothing collection
XEJu8DKjj20,inappropriate,Scariness,extreme,ad pertains to a Punjabi music video; shows a mob on streets; contains flashes; smoking; sexually suggestive content; abusive signs; display of weapons
BNYSEpzgdDA,irrelevant,Social Issues & Activism,-,ad pertains to Pepsi's women empowerment campaign
OKE1JmVIi_o,irrelevant,Music & Performance,-,ad pertains to a performance of Silent Night
morS4Hb9HHo,child directed,Cooking and Food,-,ad pertains to Milo for kids
8IK_PecdXmc,irrelevant,Education & Learning,-,ad pertains to an explanation of the private jet industry
vkBR70LAMuE,inaudible,Different Language,-,ad is in a different language; unable to pinpoint what the ad is about
QNXeE1ehBh0,irrelevant,Music & Performance,-,ad pertains to a freestyle beat instrumental music 
TljfaTh6-hI,child directed,Non-violent video games,-,ad pertains to the Sandbox Game
slniKxBEVSA,inappropriate,Intimacy,moderate,ad pertains to a Punjabi music video; contains inherent omantic dynamic; displays of affection
egz8WFlk9r4,child directed,Storytelling,-,ad pertains to a child's youtube vlog (URADAM ONLINE)
gIBKqh_OMYc,inaudible,Different Language,-,ad pertains to traditional music; in a different language
ol65vGzjAv0,irrelevant,Cooking and Food,-,ad pertains to Knorr Sri Lanka
U2xmfJEUQgQ,irrelevant,Autos & Vehicles,-,ad pertains to Nissan's cars
lXLT25mCiKE,child directed,Storytelling,-,ad pertains to a child's youtube vlog (URADAM ONLINE)
gBaZV7qB-sc,irrelevant,Software,-,ad pertains to a software for modelling of industrial machinery
oWbhqm4zjP0,irrelevant,Software,-,ad pertains to Viam Robotics software to assist robotics engineers
xbmDg5mnaps,inappropriate,Physical Violence,extreme,ad pertains to a movie trailer; shows plenty of physical violence; mass death; display of weapns; scariness; 
-bBQvEo02CA,inaudible,Different Language,-,ad pertains to a music audio without video; music itself is  inaudible as it is in a different language
oWCK5j_XNbQ,inappropriate,"Drinking, drugs, smoking",extreme,ad pertains to a music video; shows smoking an drinking; some physical violence is presence; some sexual suggestiveness also present
lu3jxD-nzSQ,inappropriate,Display of Weapons,extreme,ad pertains to a music video; contains distressing imagery at the start; shows smoking; display of weapons along with a kidnapping 
ZTUoDmiUzRo,inappropriate,Intimacy,mild,ad pertains to a music video; contains an inherent romantic dynamic
96CgTFsdjJQ,inaudible,Different Language,-,ad pertains to a music video; in a different language and thus inaudible
SPcyXSmnnEI,irrelevant,Home and Lifestyle,-,ad pertains to interior makeovers
-QFqUSTt8IM,irrelevant,Tech & Gadgets,-,ad pertains to network packages by Dialog
KjK06CxurgA,inappropriate,Death,moderate,ad pertains to a movie trailer; shows dead; a guy almost being run over; shows dead bodies as well
Ovz4PzLbaj4,irrelevant,Education & Learning,-,ad pertains to a university
yRQWFoyFuWQ,irrelevant,Education & Learning,-,ad pertains to the TOEFL test
qWFcB3ZqYpQ,inappropriate,Intimacy,moderate,ad pertains to a music videol; contains inherent romantic dynamic; display of affection present
TlWQUx7dRxg,irrelevant,Software,-,ad pertains to easypaisa
K77-yXo-0r0,irrelevant,Nature & Environment,-,ad pertains to nature; shows flowers
0fxHu4MVujg,child directed,Non-violent video games,-,ad pertains to the Sandbox Game
MA4I7SwfLEQ,inappropriate,Inappropriate Clothing,mild,ad pertains to a muic video; features inappropriate clothing and dancing; some romantic premise present
zz1xcDrqplM,inappropriate,Intimacy,moderate,ad pertains to a music video; contains inherent romantic dynamic; some scenes of intimacy
c46Psa0YiuA,irrelevant,Music & Performance,-,ad pertains to a KPOP music video
LY6ZmEGlsTQ,irrelevant,Sports & Athletics,- ,ad pertains to a snowboarding shop
F8RezGsOVho,inappropriate,Intimacy,moderate,ad pertains to a trailer; contains plenty of physical intimacy
Uix8kB4TPnY,irrelevant,Music & Performance,-,ad pertains to a music video about being carefree
WuQPgslOExk,irrelevant,Music & Performance,-,ad pertains to a music video; it is in a different language and hence inaudible; contains subtitles in English
OHiotm-WzYE,irrelevant,Fashion,-,ad pertains to stylo shoes for women
gsXOUOlnot8,inappropriate,Offensive language,mild,ad pertains to a music video; constains mild violence; abusive signs; some displays of affection
zaDth3Gsl8U,inappropriate,Scariness,mild,ad pertains to a book about feeling burned out; contains some distressing imagery unsuitable for kids
xQhOCdnkYh0,irrelevant,Tech & Gadgets,-,"ad pertains to a lottery win annoucement by Dialog, a connectivity company"
t02fDghn-t8,inappropriate,Offensive language,-,ad pertains to a rap song; contains gestures and lyrics about blowing someones brains out; contains abusive gestures
I4FM2nhMo6E,irrelevant,Music & Performance,-,ad pertains to a Rock music video
i--qBLB_Wfg,irrelevant,"Drinking, drugs, smoking",-,ad pertains to the Four Season's resort; shows a couple drinking
acHWusVlU_M,irrelevant,Software,-,ad pertains to Grammarly's tone suggestions
tzJIIi4Q1m0,child directed,DIY & Arts and Crafts,-,ad pertains to coloring and drawing
Mw6ytQMQGNI,inappropriate,Display of Weapons,moderate,ad pertains to a Punjabi music video; contains weapons; shows a peson being shot
T5Mgj5fI6gc,irrelevant,Travel & Adventure,-,ad pertains to scuba diving with Queensland Scuba Diving Company
CpYoMDK3XIs,irrelevant,Home and Lifestyle,-,ad pertains to an on-call service for fixing home electricity problems
f0h2FRK_HjE,inappropriate,Display of Weapons,moderate,ad pertains to a Punjabi music video; contains display of weapons; sme sexual undertones present
7pM9ItUtWeM,irrelevant,Tech & Gadgets,-,ad pertains to network packages by Dialog
u4I93RiV0w0,child directed,Storytelling,-,ad pertains to a child's youtube vlog (URADAM ONLINE)
1UKKXFir0Cc,child directed,Non-violent video games,-,ad pertains to the Sandbox Game
DR4ytzPOAlo,irrelevant,Music & Performance,-,ad pertains to a podcast about Extempore Musical Journeys
r4q8RrVQEcE,inaudible,Different Language,-,ad pertains to musical performances on an island; has elements of a reality show; mostly inaudible since in Vietnamese
Ucog1ghGMUM,irrelevant,Machinery,-,ad pertains to Tisco Steel
a3jqI73JMLs,irrelevant,Nature & Environment,-,ad pertains to a clip showing a lake in the mountains
VhHE1Cog4MM,inappropriate,Inappropriate Clothing,moderate,ad pertains to a music video; contains inappropriate clothing in a sexual context
X2pnuCvs7c8,inappropriate,Intimacy,mild,ad pertains to a trailer; contains initmacy and a prevalent romantic dynamic
MpszGxkLGEY,irrelevant,Music & Performance,-,ad pertains to a Punjabi music video
VbNWceCA31Q,inaudible,Different Language,-,ad pertains to music audio; contains static images as visuals; in a different language
Kc93ILm-_CM,child directed,Poems/Songs/Nursery Rhymes/Music,-,ad pertains to rhymes for kids
BBv-yWjHehY,irrelevant,Tech & Gadgets,-,ad pertains to network packages by Dialog
cAMHx-m9oh8,inappropriate,Intimacy,mild,ad pertains to a music video; contains inherent romantic dynamic
c7kUBqwvuQg,irrelevant,Software,-,ad pertains to automating lead generation using Linkedin and Email
zlVtzB4HN28,irrelevant,Cooking and Food,-,ad pertains to Lipton's tea
HDrqtgQVTgg,inappropriate,Unsuitable video games,mild,"ad pertains to an mmo style game; Call of Dragons, rated PG9+"
CrM0k0bJ73Q,inappropriate,"Drinking, drugs, smoking",-,"ad pertains to a Pubjabi Music video; title and context is about ''Spliing alcohol"""
stZF4lcAAjU,irrelevant,Tech & Gadgets,-,ad pertains to Ufone's mobile network deals
fOdo1GkzZAk,child directed,Educational Content,-,ad pertains to AdaptedMind's game for teaching math
iU2rMRZcn1U,inappropriate,Intimacy,moderate,ad pertains to a music video; contains inherent romantic context about a  guy chasing a girl
z2su3BKlbj4,inappropriate,Intimacy,moderate,ad pertains to a music video; contains inherent romantic context; some lyrics are sexual in nature
8u_jzS1APjs,inappropriate,Display of Weapons,moderate,ad pertains to a punjabi music video; shows ample display of guns
Hgge3iTiJfY,inappropriate,Intimacy,mild,ad pertains to a Punjabi music video; contains inherent romantic dynamic;
JUo8SAJXS_I,inappropriate,Intimacy,mild,ad pertains to a music video; contains sensual undertones and displays of affection
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=DwNatxJHBGo,irrelevant,Personal Care & Beauty,-,ad pertains to Sensodyne's toothpaste
https://www.youtube.com/watch?v=W-Ardr2Oeu8,irrelevant,Music & Performance,-,"""This video is private"""
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,-,ad pertains to a cartoon (by AdaptedMind) which introduces a math game; in English
https://www.youtube.com/watch?v=VMulqQDWDbI,irrelevant,Home and Lifestyle,-,"ad pertains to a company called ""sacher portagioie"" which seem to be producing makeup or ring cases"
https://www.youtube.com/watch?v=9SJMjAqe6J4,irrelevant,Home and Lifestyle,-,"ad pertains to a paint company, Asian Paints Causeway; shows a kid smiling next to their product"
